uu_id,total_claims
0024b3c6293e38b01016693d728f424d,50.23152728
005be9532fd717dc36d4be318fd9ad25,46.71050938
007c1caccff1fbb3a0b8a10790f77141,34.84865734
009683350b175edfc6414d664e4ba873,34.23006297
00c6ba641c56593217a7acc8593daee0,25.29352599
00d85dff1c1f21f01f4f5f0bd683d32b,41.56777065
00dc004f0a3a7c6764e7fed03f053eb8,28.5017208
00f962ce727b8dbbf20925abd5a253dd,102.04266983
00fc01ec49bb1186bfb96ffcbf1f7e3c,27.40681666
0201c8c33bdc9b56065758596657b447,25.99002379
0266d733b0836fe9368cde5384d1c8f5,33.64205387
0298fa0a2a838b89be0c976b666fd72f,40.1624774
02a7b845ab6b3fc2c09a50cdc486db2a,35.27333542
02ba3465571fdc8655f5a18749789364,43.44390406
02e8615a8b78b001fc70e64a82d9a561,37.05793386
0392ee82d61e6b95e117d22d8f732b12,27.49831087
03ba3a9a63be1a5423457246f2846292,51.0146419
03c19bded040e676a80db87e3c8431f5,32.96535442
0469c05cfdbc525fcb65d513cedce823,23.92116225
04771ff1eb844f33d1e5d350c74cba29,34.09461531
04dbcf1a56f792d3bc34957107efcb06,47.54228249
050a624d618a68e43fe31189909c644f,60.36110862
05298117cbe0fd69f04f89c83aaac091,43.89616947
05f47cc80d60a67d61e891e2b90c2045,43.82638402
06c78e49b4daedfeb808c42e58fb25e4,36.93653279
06e492b4f29d153af26c659d1f7da2a1,40.24115633
07306ce64b3496b7955efaaf7509d73c,29.45285033
074f501122885ab9aef5e9d07004209d,38.3963042
0847a74de673f1f116d9fac5a51dfcc9,33.55221158
0866bbc00c3f4a49396a57243757312b,31.10328713
08811e6c0774a1a827836f59255ccd91,51.30721318
0887c18da47a35b41ef9b2c0d17d6fa5,31.22647231
0978b755a3b8ad730eae70eb1758d76c,45.977754
09fbf26479f644ad33186ec51a90d65d,62.14506155
0ad94f09274e2c9cb0ef5cb77eb334b4,112.538332
0aed17ab54d56c6651d331418e8db6be,33.92077458
0b429683ea2258a1a9806f0d108224ad,37.59859548
0bdc0df962a3c10541c2aa5220ded58b,48.7467135
0c04721c4e15e0f5253b3ac5f426fff8,38.91679204
0cbf89f134ab3e15d1f2869b77b8066b,44.1352976
0d165590afad07ce71727d690f4aad80,54.31318669
0d37cc53abcbfb5882e0f6bbe18520ef,35.00636943
0dc217a2798a141c59b99f5bcff29fa9,34.60097334
0ddc000d84becc16ed69c0d42a281408,36.45285721
0e485fc6baf9acdc8e82cf4ca76e1833,27.66881197
0e6523fb3fc17f6a2ac7050972bd4bfd,32.04904096
0eadc4f22396980ecc2e7878ffbaf14a,33.11784361
