poi_id,latitude,longitude,raw_visit_counts
eb699a93-f2b4-4656-a1d3-e7aee5db262b,40.464577,-86.928125,82
60bbac04-f588-432d-968b-1acb1e2e1e84,40.383389,-86.886377,90
a7c1afbc-73da-450d-8510-12b74095c680,40.376437,-86.859096,70
9433dae8-02a7-4409-805a-0e2ff1ebc70d,40.397547,-86.86784,137
5a5092da-0b08-4e9c-a2bb-fa80bb8afb71,40.418455,-86.832801,82
21af50af-78a5-476d-a771-42ea1eba2104,40.418224,-86.838276,154
3663dc43-4d63-47ba-b84d-bc3ce0a87ee5,40.411262,-86.858542,85
c88ef3c7-0434-4ef3-bc18-6a419ee7f285,40.404915,-86.86428,59
bf275500-aff9-480a-a584-3e3a3f4ca4f1,40.405733,-86.863285,149
4f8c78ce-f119-43fa-80d3-1115f6ef8df7,40.394797,-86.839135,87
a8fc71c3-c84d-49ae-ba7e-cf9ea8f6d190,40.397985,-86.855916,60
d5d27576-2008-441d-9611-cfd2c5bb5725,40.409025,-86.860065,75
06896cca-ad68-4423-bc83-4cf95fcb4f09,40.415063,-86.851662,59
b5061135-ce0c-4311-863c-620d099547de,40.408125,-86.857098,66
76cc30b1-486a-49b5-aae4-b664da5b9443,40.43061,-86.88212,85
0df2ab62-8775-4a15-8fb1-0ca163f1698b,40.415814,-86.89333,72
7dff9ba4-62f2-4284-b06c-9b015a367f16,40.402351,-86.856803,58
874c9c40-097b-4899-bf3f-72999e80a92e,40.392444,-86.853123,63
c72d323d-48d0-4e34-bf15-2e156e7f1982,40.402461,-86.858109,93
4ff71793-e0d6-47d2-9497-e78cfb5e0598,40.397607,-86.854576,75
71f6961e-1b35-4d08-bb17-4f381d06df96,40.395889,-86.852639,58
3062552c-6196-4fa7-8a62-2a8aa07ae8e8,40.470093,-86.960562,550
7ad2c2a5-8866-462b-b75a-bda2c233bb71,40.377496,-86.818588,97
99eef75e-98de-4a42-8ec5-0ff3aa047484,40.418895,-86.841632,369
7efa8676-b53e-4a4d-85b1-a99704520d4a,40.386843,-86.843411,766
4665f554-0bb6-490e-b0ad-1e04e451ebd3,40.469866,-86.956852,975
5e1d2b4e-38f4-4176-8f7f-2fb047090f80,40.433425,-86.869238,530
5e5b46c1-3676-44a1-ad7c-9ac5e6522d8b,40.423379,-86.916862,154
04fcf584-79c6-41a7-b15b-8b6de0a0f22b,40.414619,-86.812792,1454
9bd5a2d0-62a3-4173-b021-9409b895e0af,40.396488,-86.870173,192
5212c865-be6f-4964-ab2f-0b2a39746eaa,40.455335,-86.917582,393
66832dd6-bfe2-409b-87ae-239d7e738b7d,40.453906,-86.908797,177
ee0155f3-c342-48d9-9404-2a8d05c1b972,40.4126,-86.839669,260
c254c508-ff25-40b5-9cdb-41478993de7f,40.405776,-86.856575,225
5c29c187-736f-4743-bb00-fc09d0b98aea,40.423244,-86.861473,116
2f54a8eb-650d-4483-92f8-2ce9a627b094,40.390373,-86.844455,758
924f4513-1dd0-4c33-8972-7b69d21b953b,40.367866,-86.860192,129
e05d0f00-5792-4665-9907-64587cd7cbb1,40.381422,-86.875714,60
160e0019-5893-401b-bbe3-28ba6c2e0492,40.37357,-86.779715,123
8d5b7829-63ae-4f12-8d65-2484ff8e2f3d,40.414199,-86.874641,132
7b19bfd7-a2cd-4983-8741-7b7de6b922e4,40.403918,-86.827281,101
be24f616-fd5a-4088-a948-7a9025dab603,40.462086,-86.840551,96
a526916c-b7fa-40bd-a961-0485806b7f34,40.447105,-86.87995,98
92f4bf13-cfa3-4719-a2cd-ffe9da8d94a0,40.445365,-86.920563,55
27b376b8-6bf3-4827-a3a6-ae4b9e18baf3,40.420183,-86.857474,70
5f40bfd3-d38c-463a-8b8e-4124acad357f,40.419405,-86.861081,118
6ad6d09d-191c-4131-8211-0d580e35ba51,40.400886,-86.856812,73
b646d2c7-711c-4bee-8769-160c95fdbb5a,40.377006,-86.837189,113
dc4b9fd8-a2b0-44c3-9902-0bb666614123,40.389152,-86.837822,151
18355c5c-433e-4cb3-b90f-f19efc8c1e73,40.430041,-86.872865,144
acba9e94-382f-4350-b935-fdb5d19e7dbf,40.371242,-86.952619,57
78bd7660-c142-40c1-b7cf-b5dee8a84450,40.366292,-86.876573,217
dcb8c106-67cf-4c0b-a7ce-ca80a1a00296,40.388352,-86.905494,62
886fff88-04f8-402d-8301-7945d8c9da25,40.416931,-86.876614,59
1a8f7e2d-cca5-4046-87f5-6f079ebeec58,40.45399,-86.916345,140
c576a1ad-6df8-4ed0-9afc-7d8be03538ce,40.453838,-86.914674,130
a883b43b-98f1-41f9-848a-784676f45e5e,40.418082,-86.84641,79
8356e322-7352-4c17-8d42-87ec72e945e5,40.416498,-86.839794,127
d2c7f58d-f654-42f0-9a40-17145488ae46,40.403952,-86.837689,63
a1461cef-7e23-4e27-8dca-3ec4611194cf,40.366103,-86.857508,159
cea07092-fda1-4b19-a384-e1d1a0c21b58,40.501976,-86.867793,68
32c492e6-4e83-4c56-ab33-1e2368893c8e,40.502114,-86.86805,232
c8e7aebb-1590-45c4-9c53-712959bc1732,40.420225,-86.886233,71
36d0eb09-30f9-444e-b53e-f17331ccfd49,40.390607,-86.903557,86
5b7de29b-aa06-4fdc-a636-eb0b979337e2,40.39057,-86.904617,75
f5d2eb79-b032-45f0-a295-e168146646f9,40.384105,-86.896506,121
3b2eaf0c-f210-4e1f-9c2d-090b7f3f0a02,40.426727,-86.876005,94
259b40d3-fc5e-4d44-8772-4743baa60571,40.394938,-86.861823,63
f5652f55-3fd6-436e-9e26-11857df799ce,40.42093,-86.902152,67
ab2802c9-be59-4d20-af59-752928663bdc,40.373545,-86.780233,72
9f905ac9-9090-4d44-b254-b8710c3dda2e,40.416896,-86.8247,204
2b447a65-d057-4c99-8589-cbc825a6a294,40.395826,-86.871221,64
3f0a62da-6274-4e9f-9147-1a9a9d28f7a5,40.457862,-86.846218,57
6f1f983d-cce1-4002-93e8-a925d1ce9868,40.443202,-86.869013,72
5186df96-b478-4a8a-af63-9bdc9d8c9d96,40.464623,-86.935733,114
a7690e02-c5d4-4fe0-8a43-3591ac6dafca,40.421111,-86.857774,113
9c585b2b-d970-4892-9a1c-1cbb93a7fda8,40.403414,-86.837969,62
56edf2f4-e268-44e6-8a53-c4b3f27a2409,40.415218,-86.838327,1149
ec8cd731-b6c4-4607-937b-a9bd5a0fd4de,40.417704,-86.861028,60
d0eec178-4bc3-4c94-8601-9759a6a4a46d,40.388708,-86.839473,124
cef571ad-c029-48fb-822e-9b3396f637f5,40.38224,-86.858746,74
cb3e28b1-a592-49df-990e-0f2a5e3ecd77,40.502553,-86.869098,55
ebaeb0a8-011d-4420-b575-b7a17bce82df,40.423503,-86.899639,67
9640295b-301c-45a8-ae21-adad43ed7c80,40.417976,-86.86024,147
92e15a83-33b3-4a24-8067-1d73efc7c29f,40.413528,-86.826004,90
f33961da-6d70-4eb7-b653-e9356e470dbb,40.412433,-86.841549,144
74c077b3-aa3f-4073-bbca-a20016ebc101,40.42265,-86.852128,67
17eef966-6e57-4528-989e-f1daa921e169,40.420977,-86.856945,259
b43942ac-6ded-40aa-a0b8-2f905291dafd,40.424258,-86.910108,76
acfaa1c0-0175-4251-8d8e-ee35832cbd7a,40.383582,-86.839933,101
1ba28ef8-c63b-40f8-b120-0836624d4ae4,40.394702,-86.853121,107
54bec09b-340a-4428-81dc-aa81c5c17ee4,40.420087,-86.847418,670
9df8891c-8a87-4129-9f95-5297c998f206,40.415519,-86.841718,78
072d33a1-17cf-4ad7-ac91-3efb70810c3a,40.364838,-86.859323,1696
